,Question,Answer,generated_answers
10,Can I use spot/preemptible VMs?,"Yes, additional MachinePools can be configured with Spot instances. Using Amazon EC2 Spot instances allows you to take advantage of unused capacity at a significant cost savings. Please see the [Creating a machine pool](https://docs.openshift.com/rosa/rosa_cluster_admin/rosa_nodes/rosa-managing-worker-nodes.html#creating_machine_pools_cli_rosa-managing-worker-nodes) section in the documentation for more information.","
Yes, you can use spot/preemptible VMs with ROSA. When creating a machine pool, you can select the option to use Amazon EC2 Spot Instances. This will allow you to configure your machine pool to deploy machines as non-guaranteed AWS Spot Instances. You can leave the ""Use On-Demand instance price"" selected to use the on-demand instance price, or select ""Set maximum price"" to define a maximum hourly price for a Spot Instance. Please note that your Amazon EC2 Spot Instances might be interrupted at any time, so use Amazon EC2 Spot Instances only for workloads that can tolerate interruptions."
11,Is there an upfront commitment?,"There is no required upfront commitment. ROSA clusters can be provisioned on-demand, with pay-as-you-go billing, for both AWS & OpenShift expenses. In this case, there is no upfront commitment. One year & three year RI pricing is also available to take advantage of pricing discounts.","
You can find more information about the Enterprise Agreement and Online Services Terms here:

- [Red Hat Enterprise Agreement](https://www.redhat.com/en/about/red-hat-enterprise-agreement)
- [Online Services Terms](https://www.redhat.com/en/about/online-services-terms)"
12,How can I start using Red Hat OpenShift Service on AWS?,"You can acquire the service directly from the AWS console. As with other AWS services, such as EC2, just spin up your OpenShift clusters and you will be charged based on your consumption. You can also contact your Red Hat or AWS representative. Here is a [short video](https://www.youtube.com/embed/KbzUbXWs6Ck) that demonstrates the process to deploy a ROSA cluster.","
Q: How can I start using Red Hat OpenShift Service on AWS?

A: To start using Red Hat OpenShift Service on AWS, you will need to have an active subscription on your Red Hat account. Additionally, you will need to install the version of the Red Hat OpenShift Service on AWS command line utility (the `oc` client tool) that matches your Red Hat OpenShift Service on AWS version and add it to your path. Once you have completed these steps, you can begin using Red Hat OpenShift Service on AWS. For more information, please refer to the [Red Hat OpenShift Service on AWS Documentation](https://docs.openshift.com/rosa/welcome/index.html)."
13,Do I need to sign/have a contract with Red Hat?,No. You do not need to have a contract with Red Hat to use ROSA. You will need a Red Hat account for use on console.redhat.com which includes accepting our Enterprise Agreement and Online services terms.,"
Yes, all Red Hat OpenShift Service on AWS 4.8 clusters require an administrator acknowledgment before they can be upgraded to Red Hat OpenShift Service on AWS 4.9. This acknowledgment is required to ensure that the customer is aware of the changes that will be made to their cluster and the potential impact of those changes. The acknowledgment can be found in the Red Hat OpenShift Service on AWS console."
14,Is there a discount if I have unused OCP subscriptions?,Yes! Customers migrating non-ROSA OpenShift workloads to ROSA are eligible for a 75% discount off the ROSA service fee 1-year contract rate over the remaining term of their non-ROSA OpenShift subscriptions. IBM Cloud Pak customers migrating their Cloud Pak workloads to ROSA are eligible for a 50% discount off the ROSA service fee 1-year contract rate over the remaining term of their Cloud Pak licenses. These discounts can be obtained by contacting [aws-redhat-partnerteam@amazon.com](mailto:aws-redhat-partnerteam@amazon.com). The discounts apply only to ROSA service fees associated with the worker nodes running the migrated workloads. See also the [AWS ROSA pricing page](https://aws.amazon.com/rosa/pricing/).,"
ROSA is priced based on the number of worker nodes running the workloads. You can find more information about pricing on the [AWS ROSA pricing page](https://aws.amazon.com/rosa/pricing/)."
15,"Can I bring my own subscription to the service (e.g. Red Hat Cloud Access, OCP, IBM CloudPak)?","Existing non-ROSA OpenShift subscriptions cannot be directly used for ROSA, as billing occurs directly through AWS, preventing OpenShift Container Platform or OpenShift Dedicated subscriptions from being used with ROSA. Though, as stated in the previous question, customers can get a discount for unused subscriptions for the remaining term of their subscription, including IBM CloudPaks.","
You can find more information about the ROSA product and its features in the [documentation](https://docs.openshift.com/rosa/welcome/index.html)."
16,Can I purchase middleware subscriptions on-demand for my ROSA clusters?,"Middleware subscriptions (e.g, Integration or Runtimes) are purchased from Red Hat yearly via the standard process.  Currently, there is no on-demand purchasing ability for your ROSA clusters.","
### Is there a way to add notification contacts for a ROSA cluster?
Yes, you can add notification contacts for a ROSA cluster. Subscribed users will receive emails about cluster events that require customer action, known cluster incidents, upgrade maintenance, and other topics. To add notification contacts, you can use the [ROSA Console](https://console.openshift.com/rosa/clusters) to manage your cluster."
17,What are the regions where SREs have residency to operate?,Please see the [Red Hat Subprocessor List](https://access.redhat.com/articles/5528091).,"
- SRE-P Dashboard: https://sre-p.redhat.com/
- SRE-P Documentation: https://docs.openshift.com/rosa/sre-p/index.html
- SRE-P Release Notes: https://docs.openshift.com/rosa/sre-p/release-notes.html
- SRE-P Change Log: https://docs.openshift.com/rosa/sre-p/change-log.html
- SRE-P Support: https://access.redhat.com/support/cases/"
18,Which AWS regions is the service available in?,Please refer to the [product regional availability](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-regions-az_rosa-service-definition) page for an up-to-date view of where Red Hat OpenShift Service on AWS is available.,"
You can find more information about the supported regions and general AWS service quotas in the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)."
19,Which compliance certifications does ROSA have so far?,"Red Hat OpenShift Service on AWS is currently compliant with SOC-1, SOC-2 type 1 & type 2, ISO-27001, & PCI-DSS. We are also currently working towards FedRAMP High, HIPAA, ISO 27017 and ISO 27018 as well.","
### What is the ROSA-required service quota?
The ROSA-required service quota is the minimum amount of resources that must be allocated to a cluster in order to ensure that the cluster is able to run properly. This quota is based on the number of nodes in the cluster and the type of nodes (control plane or worker). The ROSA-required service quota can be found in the [ROSA Service Definition](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-service-quota_rosa-service-definition)."
20,Can a cluster have worker nodes across multiple AWS regions?,"No, all nodes in a Red Hat OpenShift Service on AWS cluster must be located in the same AWS region; this follows the same model as that of OCP. For clusters configured for multiple availability zones control plane nodes and worker nodes will be distributed across the availability zones.",
21,What is the minimum number of worker nodes that a ROSA cluster can have?,For a ROSA cluster the minimum is 2 worker nodes for single AZ and 3 for multiple AZ.,
22,Where can I find the product documentation for ROSA?,ROSA documentation can be found [here](https://docs.openshift.com/rosa).,
23,Can an admin manage users and quotas?,"Yes, a Red Hat OpenShift Service on AWS customer administrator can manage users and quotas in addition to accessing all user created projects. Please see for example [resource quotas per project](https://docs.openshift.com/container-platform/4.10/applications/quotas/quotas-setting-per-project.html).","
Administrators can manage users and quotas in ROSA by granting admin rights to users. This can be done by navigating to the Users tab in the ROSA console and selecting the user you want to grant admin rights to. Once the user is selected, click the ""Grant Admin Rights"" button to grant the user admin rights. This will allow the user to manage users and quotas in ROSA."
24,When will features of the latest version of Kubernetes be supported in ROSA via OpenShift 4?,"Customers are able to upgrade to the newest version of OpenShift in order to inherit the features from that version of OpenShift (see [life cycle dates](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-life-cycle.html#rosa-life-cycle-dates_rosa-life-cycle)). Note, that since ROSA is an opinionated installation of OpenShift Container Platform, not all features may be available on ROSA. Please review the [Service Definition](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html).","
### Is there a way to monitor the usage of the cluster?
Yes, ROSA provides a comprehensive monitoring solution that allows customers to monitor the usage of their cluster. This includes metrics such as CPU, memory, and disk usage, as well as application-level metrics such as requests per second and response times. Additionally, customers can use the OpenShift web console to view the status of their cluster and applications."
25,How can customers get support for the service?,"ROSA is supported by AWS and Red Hat, and you have the option to contact support from either company to begin troubleshooting. Any escalations that are necessary will be facilitated as necessary by AWS and Red Hat to engage the best team to address the issues.
  - [Red Hat Support](https://access.redhat.com/)
  - [AWS Support](https://aws.amazon.com/premiumsupport/) (Customer must have valid AWS support contract)
You can also visit the [Red Hat Customer Portal](http://access.redhat.com/) to search or browse through the Red Hat Knowledgebase of articles and solutions relating to Red Hat products or to submit a support case to Red Hat Support. Or you can open up a ticket directly from [OpenShift Cluster Manager](https://console.redhat.com/openshift) (OCM).  See the [ROSA documentation](https://docs.openshift.com/rosa/rosa_support/rosa-getting-support.html) for more details about obtaining support.",
26,"What happens if I do not upgrade my cluster before the ""end of life"" date?","Nothing will happen to an existing ROSA cluster. Your ROSA cluster will continue to operate though it will be in a ""limited support"" status. In short, this means that the SLA for that cluster will no longer be applicable, but you can still get support for that cluster.  Please see [Limited support status](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-life-cycle.html#rosa-limited-support_rosa-life-cycle) for more details.","- [AWS Updates](https://aws.amazon.com/about-aws/whats-new/)
- [Red Hat OpenShift Service on AWS Updates](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-updates_rosa-service-definition)
- [Red Hat OpenShift Service on AWS Email List](https://www.redhat.com/en/subscribe-to-openshift-service-on-aws-updates)"
27,What is the SLA?,Please refer to the [Red Hat OpenShift Service on AWS SLA](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-sla_rosa-service-definition) page for details.,"
Input: ""How do I configure LDAP authentication for ROSA?""
Output: ""You can configure LDAP authentication for ROSA by following the steps outlined in the [Configuring LDAP Authentication](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/configuring-ldap-authentication.html) guide. This guide will provide you with the necessary steps to configure LDAP authentication for your ROSA cluster."""
28,How will customers be notified when new features/updates are available?,"Updates will go through the regular communication channels, including AWS updates and email.","- [AWS Updates](https://aws.amazon.com/about-aws/whats-new/recent/)
- [ROSA Updates](https://www.openshift.com/products/amazon-openshift/updates)
- [ROSA Newsletter](https://www.openshift.com/products/amazon-openshift/newsletter)
- [ROSA Twitter](https://twitter.com/ROSA_AWS)"
29,What version of OpenShift is running?,Red Hat OpenShift Service on AWS is a managed service which is based on OpenShift Container Platform. You can view the current version and [life cycle dates](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-life-cycle.html#rosa-life-cycle-dates_rosa-life-cycle) in the ROSA documentation.,"
- Control plane nodes run RHCOS with the OpenShift Container Platform 4.x control plane components.
- Infra nodes run RHCOS with the OpenShift Container Platform 4.x infrastructure components.
- Worker nodes run RHCOS with the OpenShift Container Platform 4.x application components.

You can find more information in the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)."
30,Is Open Service Broker for AWS (OBSA) supported?  ,"Yes, you can use OSBA with Red Hat OpenShift Service on AWS.  See [Open Service Broker for AWS](https://aws.amazon.com/partners/servicebroker/) for more information. Though a more recent development is the [AWS Controller for Kubernetes](https://github.com/aws-controllers-k8s/community). This is the preferred method.","
-   [Red Hat Enterprise Linux CoreOS](https://docs.openshift.com/container-platform/4.4/welcome/index.html#welcome-rhcos_welcome)
-   [ROSA Architecture](https://docs.openshift.com/rosa/rosa_architecture/index.html)"
31,What is the underlying node OS used?,"As with all OpenShift v4.x offerings, the control plane, infra and worker nodes run Red Hat Enterprise Linux CoreOS (RHCOS).","
- [RHCOS Documentation](https://docs.openshift.com/container-platform/4.4/welcome/index.html)
- [RHCOS Release Notes](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux_coreos/4/html/release_notes/)"
32,What is the process for customers wishing to ‘offboard’ their deployment in ROSA - is there a process?  ,"Customers can stop using the service anytime and move their applications to on-prem, private cloud or other cloud providers.  Standard reserved instances (RI) policy applies for unused RI.   ","
ROSA does not currently have a hibernation or shut-down feature for any nodes in the cluster to save costs on infrastructure or to retain a configured cluster for long-term. However, you can deploy a ROSA cluster using the ROSA CLI or the ROSA User Interface. For more information on deploying a ROSA cluster, please see the [ROSA CLI](/rosa/15-deploy_cli) and [User Interface](/rosa/16-deploy_ui) pages."
33,What authentication mechanisms are supported with ROSA?,"OpenID Connect (a profile of OAuth2), Google OAuth, GitHub OAuth, GitLab, and LDAP.",
34,How will events such as product updates and scheduled maintenance be communicated?,Red Hat will provide updates via email and Red Hat console service log.,"- AWS updates: Customers will receive notifications about new features and updates through the AWS console.
- Email: Customers can subscribe to the ROSA mailing list to receive notifications about new features and updates."
35,Does ROSA have a hibernation or shut-down feature for any nodes in the cluster to save costs on infrastructure or to retain a configured cluster for long-term?,"No, not at this time. The shutdown/hibernation feature is an OpenShift platform feature not yet mature enough for widespread cloud services use.",
36,Is SRE access to clusters secured by MFA?,"Yes, all SRE access is secured by MFA. See [SRE access](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-policy-process-security.html#rosa-policy-sre-access_rosa-policy-process-security) in the documentation for more details.","
- Control plane root volumes
- Infrastructure node root volumes
- Worker node root volumes
- Persistent volumes"
37,"What encryption keys, if any, are used in a new ROSA cluster?","We encrypt EBS volumes that we use for ROSA, using a key stored in KMS. Customers have the option to provide their own KMS keys at cluster creation time as well.",- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)
38,"If I specify a KMS key to use, what exactly gets encrypted with that key?","Control plane, infrastructure and worker node root volumes, along with your persistent volumes.","
You can find more information at the following links:
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)
- [ROSA STS Customizations](https://docs.openshift.com/rosa/rosa_install_access_delete_clusters/rosa-sts-creating-a-cluster-with-customizations.html#rosa-sts-creating-cluster-customizations_rosa-sts-creating-a-cluster-with-customizations)
- [Deploy ROSA with a Custom KMS Key](https://mobb.ninja/docs/rosa/kms/)"
39,Is data on my cluster encrypted?,"By default, there is encryption at rest. The AWS Storage platform automatically encrypts your data before persisting it, and decrypts the data before retrieval. See [AWS EBS Encryption](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html) details.
There is also the ability to encrypt etcd in the cluster, and that would combine with AWS storage encryption, resulting in double the encryption (redundant), which adds up to 20% performance hit. For further details see [etcd encryption](https://docs.openshift.com/rosa/rosa_policy/rosa-service-definition.html#rosa-sdpolicy-etcd-encryption_rosa-service-definition).","
I'm sorry, I don't have enough information to generate that content."
40,When can etcd encryption be done with a ROSA cluster?,"Only at cluster creation time, can etcd encryption be enabled.
Note that this incurs additional overhead with negligible security risk mitigation.
See the prior question about EBS encryption.","
- EC2 instances
- EBS volumes
- ELB
- Security Groups
- IAM roles
- Route53
- VPC
- Subnets
- NAT Gateways
- Internet Gateways"
41,How is etcd encryption configured in a ROSA cluster?,The same as in OCP. The aescbc cypher is used and the setting is patched during cluster deployment. [Relevant Kubernetes documentation](https://kubernetes.io/docs/tasks/administer-cluster/encrypt-data/). For further details see [etcd encryption](https://docs.openshift.com/rosa/rosa_policy/rosa-service-definition.html#rosa-sdpolicy-etcd-encryption_rosa-service-definition).,[etcd encryption](https://docs.openshift.com/rosa/rosa_policy/rosa-service-definition.html#rosa-sdpolicy-etcd-encryption_rosa-service-definition).
42,What infrastructure is provisioned as part of a new ROSA cluster?,"ROSA makes use of a number of different cloud services such as virtual machines, storage, load balancers, etc. You can see a defined list in the [AWS prerequisites](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-aws-policy-provisioned_rosa-sts-aws-prereqs).","
ROSA provides a secure, reliable, and scalable platform for running applications. It includes a range of features such as:

- Automated cluster provisioning and scaling
- Automated patching and upgrades
- Network security and DDoS protection
- Private clusters and network connectivity
- Operator roles for cluster-specific tasks
- Monitoring and logging
- Access control and authentication
- Application deployment and management
- Storage and persistent volumes
- Service mesh and service discovery
- Autoscaling and load balancing
- Container-native development tools"
43,"I see there are two ""kinds"" of ROSA clusters. One uses an IAM user with admin permissions and the other AWS STS. Which should I choose?","AWS STS. These aren't ""kinds"" but rather credential methods. Basically, ""how do you grant Red Hat the permissions needed in order to perform the required actions in your AWS account?"". The roadmap forward is focused on STS, and the IAM user method will eventually be deprecated. This better aligns with principles of least privilege and is much better aligned to secure practices in cloud service resource management. Please see the section [ROSA with STS Explained](/rosa/15-sts_explained) for a detailed explanation.","
The “ROSA with STS” method is the preferred and recommended option. It uses predefined roles and policies to grant the service minimal permissions needed (least-privilege) to the AWS account in order to create and operate the cluster. Please see the section ""[ROSA with STS Explained](15-sts_explained.md)"" for a detailed explanation."
44,"I’m seeing a number of permission or failure errors related to prerequisite tasks or cluster creation, what might be the problem?",Please check for a newer version of the ROSA CLI. Every release of the ROSA CLI lands in two places: [Github](https://github.com/openshift/rosa/releases) and the [Red Hat signed binary releases](https://www.openshift.com/products/rosa/download).,"
If you are seeing permission or failure errors related to prerequisite tasks or cluster creation, it is likely due to one of the above prerequisites not being met. Please ensure that all of the prerequisites are met before attempting to create or delete a cluster."
45,What are the available storage options?,Please refer to the [storage](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-storage_rosa-service-definition) section of the service definition.,"|--------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:
| `type:`                                                                                                                                                  | `type`       | The type of storage to use. Valid values are `ephemeral` (default) and `persistent`.                                                                                                                                                                                                                                 |
| `persistent:`                                                                                                                                            | `persistent` | Configuration options for persistent storage. This option is only valid if `type` is set to `persistent`.                                                                                                                                                                                                            |
| `persistent.storageClassName:`                                                                                                                            | `storageClassName` | The name of the storage class to use for persistent storage. This option is only valid if `type` is set to `persistent`.                                                                                                                                                                                            |
| `persistent.accessMode:`                                                                                                                                  | `accessMode` | The access mode for the persistent storage. Valid values are `ReadWriteOnce` (default) and `ReadWriteMany`. This option is only valid if `type"
46,What options are available to use shared storage in containers?,"AWS EFS (Using AWS EFS CSI Driver, OpenShift includes the CSI driver out of the box in 4.10.). See [Setting up AWS EFS for Red Hat OpenShift Service on AWS](https://docs.openshift.com/rosa/storage/persistent_storage/osd-persistent-storage-aws.html).","|--------------------------------------------------------------------------------------------------------------------------------------------------------|--------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| `type:`                                                                                                                                                   | `type:`      | The type of storage to use. Options are `inmemory`, `elasticsearch`, `cassandra`, `gcs`, `s3`, `azure`, `minio`, `dynamodb`, `kafka`, `couchbase`, `couchdb`, `postgres`, `mysql`, `mssql`, `oracle`, `vault`, `redis`, `etcd`, `filesystem`, `grpc`, `grpcauth`, `grpcstream`, `grpcauthstream`, `grpcauthfilesystem`, `grpcstreamfilesystem`, `grpcauthstreamfilesystem`, `grpcauthfilesystemstream`, `grpcstreamfilesystemauth`, `grpcauthstreamfilesystemauth`, `grpcauthfilesystemstreamauth`, `grpcstreamfilesystemauth`, `grpcauthstreamfilesystemauth`, `grpcauthfilesystemstreamauth`, `grpcstreamfilesystemauth`, `"
47,Can I deploy into an already existing VPC and choose the specific subnets?,Yes.  At install time you are able to select whether you’d like to deploy to an existing VPC and then choose that VPC.  You will then be able to select the desired subnets and also provide a valid CIDR range (encompassing the subnets) the installer will handle using those subnets. Please see the [VPC](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-vpc_rosa-sts-aws-prereqs) section in the documentation for further details.,"
Can I deploy into an already existing VPC and choose the specific subnets?
Yes, you can deploy into an existing VPC and choose the specific subnets. When creating the cluster, you will be able to select the existing VPC and then choose the desired subnets. You will also need to provide a valid CIDR range (encompassing the subnets) for the installer to handle. Please see the [VPC](https://docs.openshift.com/rosa/rosa_planning/rosa-sts-aws-prereqs.html#rosa-vpc_rosa-sts-aws-prereqs) section in the documentation for further details."
48,Which network plugin is used in Red Hat OpenShift Service on AWS?,Red Hat OpenShift Service on AWS uses the default OpenShift SDN network provider configured to NetworkPolicy mode. OVN-Kubernetes is on our roadmap.,"- OpenShift-SDN
- OVN-Kubernetes is supported on Red Hat OpenShift Service on AWS 4.7.32+, Red Hat OpenShift Service on AWS 4.8.12+, and Red Hat OpenShift Service on AWS 4.9+.
- Third-Party Container Network Interface (CNI) plugins that have been certified on Red Hat OpenShift Service on AWS and passed Service Mesh conformance testing. See [Certified OpenShift CNI Plug-ins](https://access.redhat.com/articles/5436171) for more information."
