,Question,Answer,generated_answers
10,Can I use spot/preemptible VMs?,"Yes, additional MachinePools can be configured with Spot instances. Using Amazon EC2 Spot instances allows you to take advantage of unused capacity at a significant cost savings. Please see the [Creating a machine pool](https://docs.openshift.com/rosa/rosa_cluster_admin/rosa_nodes/rosa-managing-worker-nodes.html#creating_machine_pools_cli_rosa-managing-worker-nodes) section in the documentation for more information.","Yes, you can use spot/preemptible VMs with Red Hat OpenShift Service on AWS (ROSA). You can configure your machine pool to deploy machines as non-guaranteed AWS Spot Instances. To do this, select ""Use Amazon EC2 Spot Instances"" when creating the machine pool. You can leave ""Use On-Demand instance price"" selected to use the on-demand instance price, or select ""Set maximum price"" to define a maximum hourly price for a Spot Instance. 

Note that your Amazon EC2 Spot Instances might be interrupted at any time, so use Amazon EC2 Spot Instances only for workloads that can tolerate interruptions. Additionally, if you select ""Use Amazon EC2 Spot Instances"" for a machine pool, you cannot disable the option after the machine pool is created. 

For more information about Amazon EC2 Spot Instances, see the AWS documentation: https://aws.amazon.com/ec2/spot/."
11,Is there an upfront commitment?,"There is no required upfront commitment. ROSA clusters can be provisioned on-demand, with pay-as-you-go billing, for both AWS & OpenShift expenses. In this case, there is no upfront commitment. One year & three year RI pricing is also available to take advantage of pricing discounts.","No, you do not need to sign/have a contract with Red Hat to use ROSA. You will need a Red Hat account for use on console.redhat.com which includes accepting our Enterprise Agreement and Online services terms. You can acquire the service directly from the AWS console. As with other AWS services, such as EC2, just spin up your OpenShift clusters and you will be charged based on your consumption. You can also contact your Red Hat or AWS representative. Here is a [short video](https://www.youtube.com/embed/KbzUbXWs6Ck) that demonstrates the process to deploy a ROSA cluster."
12,How can I start using Red Hat OpenShift Service on AWS?,"You can acquire the service directly from the AWS console. As with other AWS services, such as EC2, just spin up your OpenShift clusters and you will be charged based on your consumption. You can also contact your Red Hat or AWS representative. Here is a [short video](https://www.youtube.com/embed/KbzUbXWs6Ck) that demonstrates the process to deploy a ROSA cluster.","
Red Hat OpenShift Service on AWS (ROSA) is a fully-managed turnkey application platform that allows you to focus on what matters most, delivering value to your customers by building and deploying applications. To get started with ROSA, you will need to have an active subscription on your Red Hat account. Additionally, you will need to install the version of the Red Hat OpenShift Service on AWS command line utility (the `oc` client tool) that matches your Red Hat OpenShift Service on AWS version and add it to your path.

For more information, please refer to the following links:
- [ROSA Webpage](https://www.openshift.com/products/amazon-openshift)
- [ROSA Workshop](https://www.rosaworkshop.io)
- [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)
- [ROSA FAQ](https://docs.openshift.com/rosa/faq/index.html)"
13,Do I need to sign/have a contract with Red Hat?,No. You do not need to have a contract with Red Hat to use ROSA. You will need a Red Hat account for use on console.redhat.com which includes accepting our Enterprise Agreement and Online services terms.,"No, you do not need to sign/have a contract with Red Hat to use ROSA. You will need a Red Hat account for use on console.redhat.com which includes accepting our Enterprise Agreement and Online services terms. All Red Hat OpenShift Service on AWS 4.8 clusters require this administrator acknowledgment before they can be upgraded to Red Hat OpenShift Service on AWS 4.9. For more information, please refer to the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)."
14,Is there a discount if I have unused OCP subscriptions?,Yes! Customers migrating non-ROSA OpenShift workloads to ROSA are eligible for a 75% discount off the ROSA service fee 1-year contract rate over the remaining term of their non-ROSA OpenShift subscriptions. IBM Cloud Pak customers migrating their Cloud Pak workloads to ROSA are eligible for a 50% discount off the ROSA service fee 1-year contract rate over the remaining term of their Cloud Pak licenses. These discounts can be obtained by contacting [aws-redhat-partnerteam@amazon.com](mailto:aws-redhat-partnerteam@amazon.com). The discounts apply only to ROSA service fees associated with the worker nodes running the migrated workloads. See also the [AWS ROSA pricing page](https://aws.amazon.com/rosa/pricing/).,"ROSA is a fully-managed service, so you don't need to worry about the complexity of infrastructure management. Red Hat SRE experts are available to provide support and help with any issues you may have. Pricing for help is based on the type of support you need and the number of nodes in your cluster. You can find more information on pricing for help at the following link: [ROSA Pricing](https://aws.amazon.com/rosa/pricing/)."
15,"Can I bring my own subscription to the service (e.g. Red Hat Cloud Access, OCP, IBM CloudPak)?","Existing non-ROSA OpenShift subscriptions cannot be directly used for ROSA, as billing occurs directly through AWS, preventing OpenShift Container Platform or OpenShift Dedicated subscriptions from being used with ROSA. Though, as stated in the previous question, customers can get a discount for unused subscriptions for the remaining term of their subscription, including IBM CloudPaks.","No, you do not need to sign/have a contract with Red Hat to use ROSA. You will need a Red Hat account for use on console.redhat.com which includes accepting our Enterprise Agreement and Online services terms. For more information, please see the [Red Hat Subprocessor List](https://access.redhat.com/articles/5528091)."
16,Can I purchase middleware subscriptions on-demand for my ROSA clusters?,"Middleware subscriptions (e.g, Integration or Runtimes) are purchased from Red Hat yearly via the standard process.  Currently, there is no on-demand purchasing ability for your ROSA clusters.","No, ROSA does not have a hibernation or shut-down feature for any nodes in the cluster to save costs on infrastructure or to retain a configured cluster for long-term. The shutdown/hibernation feature is an OpenShift platform feature not yet mature enough for widespread cloud services use."
17,What are the regions where SREs have residency to operate?,Please see the [Red Hat Subprocessor List](https://access.redhat.com/articles/5528091).,"The SRE-P team manages and protects the following resources: 
- Red Hat OpenShift Service on AWS (ROSA) clusters 
- Red Hat OpenShift Service on AWS (ROSA) nodes 
- Red Hat OpenShift Service on AWS (ROSA) services 
- Red Hat OpenShift Service on AWS (ROSA) applications 
- Red Hat OpenShift Service on AWS (ROSA) storage 
- Red Hat OpenShift Service on AWS (ROSA) networking 
- Red Hat OpenShift Service on AWS (ROSA) security 

Customers should not attempt to modify these resources as it can lead to cluster instability. For more information, please refer to the ROSA Documentation at https://docs.openshift.com/rosa/welcome/index.html."
18,Which AWS regions is the service available in?,Please refer to the [product regional availability](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-regions-az_rosa-service-definition) page for an up-to-date view of where Red Hat OpenShift Service on AWS is available.,"Red Hat OpenShift Service on AWS (ROSA) is available in the following AWS regions: af-south-1 (Cape Town, AWS opt-in required), ap-east-1 (Hong Kong, AWS opt-in required), ap-northeast-1 (Tokyo), ap-northeast-2 (Seoul), ap-northeast-3 (Osaka), ap-south-1 (Mumbai), ap-southeast-1 (Singapore), ap-southeast-2 (Sydney), ap-southeast-3 (Jakarta, AWS opt-in required), ca-central-1 (Central Canada), eu-central-1 (Frankfurt), eu-north-1 (Stockholm), eu-south-1 (Milan, AWS opt-in required), eu-west-1 (Ireland), eu-west-2 (London), eu-west-3 (Paris), me-south-1 (Bahrain, AWS opt-in required), sa-east-1 (São Paulo), us-east-1 (N. Virginia), us-east-2 (Ohio), us-west-1 (N. California),"
19,Which compliance certifications does ROSA have so far?,"Red Hat OpenShift Service on AWS is currently compliant with SOC-1, SOC-2 type 1 & type 2, ISO-27001, & PCI-DSS. We are also currently working towards FedRAMP High, HIPAA, ISO 27017 and ISO 27018 as well.","No, all nodes in a Red Hat OpenShift Service on AWS cluster must be located in the same AWS region; this follows the same model as that of OCP. For clusters configured for multiple availability zones control plane nodes and worker nodes will be distributed across the availability zones. For more information, please refer to the [Red Hat OpenShift Service on AWS documentation](https://docs.openshift.com/rosa/welcome/index.html)."
20,Can a cluster have worker nodes across multiple AWS regions?,"No, all nodes in a Red Hat OpenShift Service on AWS cluster must be located in the same AWS region; this follows the same model as that of OCP. For clusters configured for multiple availability zones control plane nodes and worker nodes will be distributed across the availability zones.","No, a cluster cannot have worker nodes across multiple AWS regions. Each new Red Hat OpenShift Service on AWS cluster is installed within an installer-created or preexisting Virtual Private Cloud (VPC) in a single region, with the option to deploy into a single availability zone (Single-AZ) or across multiple availability zones (Multi-AZ). This provides cluster-level network and resource isolation, and enables cloud-provider VPC settings, such as VPN connections and VPC Peering. For more information, see the [Regions and Availability Zones](https://aws.amazon.com/about-aws/global-infrastructure/regions_az/) section in the AWS documentation."
21,What is the minimum number of worker nodes that a ROSA cluster can have?,For a ROSA cluster the minimum is 2 worker nodes for single AZ and 3 for multiple AZ.,The maximum number of worker nodes that a ROSA cluster can support is 180. You can find more information on limits and scalability considerations at the following link: https://docs.openshift.com/rosa/rosa_planning/rosa-limits-scalability.html.
22,Where can I find the product documentation for ROSA?,ROSA documentation can be found [here](https://docs.openshift.com/rosa).,"You can find support for Red Hat OpenShift Service on AWS (ROSA) from both AWS and Red Hat. You can contact support from either company to begin troubleshooting. Any escalations that are necessary will be facilitated as necessary by AWS and Red Hat to engage the best team to address the issues. 

You can find more information at the following links: 
- [Red Hat Support](https://access.redhat.com/)
- [AWS Support](https://aws.amazon.com/premiumsupport/) (Customer must have valid AWS support contract)
- [Red Hat Customer Portal](http://access.redhat.com/)
- [OpenShift Cluster Manager](https://console.redhat.com/openshift) (OCM)
- [ROSA Documentation](https://docs.openshift.com/rosa/rosa_support/rosa-getting-support.html)"
23,Can an admin manage users and quotas?,"Yes, a Red Hat OpenShift Service on AWS customer administrator can manage users and quotas in addition to accessing all user created projects. Please see for example [resource quotas per project](https://docs.openshift.com/container-platform/4.10/applications/quotas/quotas-setting-per-project.html).","Yes, an admin can manage users and quotas in Red Hat OpenShift Service on AWS (ROSA). Administrators can grant users admin rights to help manage the cluster, as well as set quotas for resources such as CPU, memory, and storage. For more information on managing users and profiles, please refer to the ROSA Documentation [here](https://docs.openshift.com/rosa/4.5/admin_guide/managing_users_and_profiles.html)."
24,When will features of the latest version of Kubernetes be supported in ROSA via OpenShift 4?,"Customers are able to upgrade to the newest version of OpenShift in order to inherit the features from that version of OpenShift (see [life cycle dates](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-life-cycle.html#rosa-life-cycle-dates_rosa-life-cycle)). Note, that since ROSA is an opinionated installation of OpenShift Container Platform, not all features may be available on ROSA. Please review the [Service Definition](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html).","No, ROSA does not have a hibernation or shut-down feature for any nodes in the cluster to save costs on infrastructure or to retain a configured cluster for long-term. The shutdown/hibernation feature is an OpenShift platform feature not yet mature enough for widespread cloud services use. For more information, please refer to the [OpenShift Documentation](https://docs.openshift.com/container-platform/4.4/welcome/index.html)."
25,How can customers get support for the service?,"ROSA is supported by AWS and Red Hat, and you have the option to contact support from either company to begin troubleshooting. Any escalations that are necessary will be facilitated as necessary by AWS and Red Hat to engage the best team to address the issues.
  - [Red Hat Support](https://access.redhat.com/)
  - [AWS Support](https://aws.amazon.com/premiumsupport/) (Customer must have valid AWS support contract)
You can also visit the [Red Hat Customer Portal](http://access.redhat.com/) to search or browse through the Red Hat Knowledgebase of articles and solutions relating to Red Hat products or to submit a support case to Red Hat Support. Or you can open up a ticket directly from [OpenShift Cluster Manager](https://console.redhat.com/openshift) (OCM).  See the [ROSA documentation](https://docs.openshift.com/rosa/rosa_support/rosa-getting-support.html) for more details about obtaining support.","
ROSA customers can get support from either AWS or Red Hat. Customers can contact AWS Support if they have a valid AWS support contract, or they can contact Red Hat Support through the Red Hat Customer Portal. Customers can also use the OpenShift Cluster Manager (OCM) to open a ticket directly. For more information, please refer to the ROSA documentation at https://docs.openshift.com/rosa/rosa_support/rosa-getting-support.html."
26,"What happens if I do not upgrade my cluster before the ""end of life"" date?","Nothing will happen to an existing ROSA cluster. Your ROSA cluster will continue to operate though it will be in a ""limited support"" status. In short, this means that the SLA for that cluster will no longer be applicable, but you can still get support for that cluster.  Please see [Limited support status](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-life-cycle.html#rosa-limited-support_rosa-life-cycle) for more details.","Red Hat OpenShift Service on AWS (ROSA) customers will be notified of new features and updates through the regular communication channels, including AWS updates and email. Customers can also check the [ROSA Release Notes](https://docs.openshift.com/rosa/rosa_architecture/rosa_release_notes/index.html) for more information."
27,What is the SLA?,Please refer to the [Red Hat OpenShift Service on AWS SLA](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-service-definition.html#rosa-sdpolicy-sla_rosa-service-definition) page for details.,"
You can find more information about configuring LDAP authentication for Red Hat OpenShift Service on AWS (ROSA) in the [ROSA Documentation](https://docs.openshift.com/rosa/4.5/authentication/configuring-ldap-authentication.html). Additionally, you can find more information about configuring LDAP authentication for OpenShift in the [OpenShift Documentation](https://docs.openshift.com/container-platform/4.5/authentication/configuring-ldap-authentication.html)."
28,How will customers be notified when new features/updates are available?,"Updates will go through the regular communication channels, including AWS updates and email.","Red Hat OpenShift Service on AWS (ROSA) regularly releases new features and updates. Customers will be notified of these updates through the regular communication channels, including AWS updates and email. Additionally, customers can subscribe to notification contacts for their ROSA cluster to receive emails about cluster events that require customer action, known cluster incidents, upgrade maintenance, and other topics. Generally Available and Technology Preview features are tracked on the [ROSA Features Tracker](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-features-tracker.html)."
29,What version of OpenShift is running?,Red Hat OpenShift Service on AWS is a managed service which is based on OpenShift Container Platform. You can view the current version and [life cycle dates](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-life-cycle.html#rosa-life-cycle-dates_rosa-life-cycle) in the ROSA documentation.,"The underlying node OS used for Red Hat OpenShift Service on AWS is Red Hat Enterprise Linux CoreOS (RHCOS). RHCOS is a minimal operating system designed to run containerized workloads securely and at scale. It is optimized for running containerized applications and provides a secure, reliable, and consistent environment for running them. For more information, please refer to the [RHCOS Documentation](https://docs.openshift.com/container-platform/4.5/nodes/nodes/understanding-nodes.html#understanding-nodes_understanding-nodes)."
30,Is Open Service Broker for AWS (OBSA) supported?  ,"Yes, you can use OSBA with Red Hat OpenShift Service on AWS.  See [Open Service Broker for AWS](https://aws.amazon.com/partners/servicebroker/) for more information. Though a more recent development is the [AWS Controller for Kubernetes](https://github.com/aws-controllers-k8s/community). This is the preferred method.","The underlying node OS used for Red Hat OpenShift Service on AWS (ROSA) is Red Hat Enterprise Linux CoreOS (RHCOS). RHCOS is a minimal operating system designed to run containerized workloads securely and at scale. For more information, please refer to the [RHCOS documentation](https://docs.openshift.com/container-platform/4.5/nodes/nodes/nodes-rhel-coreos.html)."
31,What is the underlying node OS used?,"As with all OpenShift v4.x offerings, the control plane, infra and worker nodes run Red Hat Enterprise Linux CoreOS (RHCOS).","The underlying node OS used in Red Hat OpenShift Service on AWS (ROSA) is Red Hat Enterprise Linux CoreOS (RHCOS). RHCOS is a minimal operating system designed to run containerized workloads securely and at scale. It is optimized for running containerized applications and provides a secure, reliable, and consistent environment for running applications. For more information, please refer to the [RHCOS Documentation](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux_coreos/)."
32,What is the process for customers wishing to ‘offboard’ their deployment in ROSA - is there a process?  ,"Customers can stop using the service anytime and move their applications to on-prem, private cloud or other cloud providers.  Standard reserved instances (RI) policy applies for unused RI.   ","Yes, ROSA provides a command line interface (CLI) for deploying clusters. You can find more information about the ROSA CLI and how to use it to deploy a cluster at the following link: https://docs.openshift.com/rosa/16-deploy_cli.html."
33,What authentication mechanisms are supported with ROSA?,"OpenID Connect (a profile of OAuth2), Google OAuth, GitHub OAuth, GitLab, and LDAP.","
The recommended authentication mechanism for ROSA is AWS STS. This method better aligns with principles of least privilege and is much better aligned to secure practices in cloud service resource management. For more information, please see the section ""[ROSA with STS Explained](15-sts_explained.md)"" for a detailed explanation."
34,How will events such as product updates and scheduled maintenance be communicated?,Red Hat will provide updates via email and Red Hat console service log.,"Red Hat OpenShift Service on AWS (ROSA) customers will be notified of new features and updates through the regular communication channels, including AWS updates and email. Additionally, customers can add notification contacts for their ROSA cluster and subscribed users will receive emails about cluster events that require customer action, known cluster incidents, upgrade maintenance, and other topics. For more information, please refer to the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)."
35,Does ROSA have a hibernation or shut-down feature for any nodes in the cluster to save costs on infrastructure or to retain a configured cluster for long-term?,"No, not at this time. The shutdown/hibernation feature is an OpenShift platform feature not yet mature enough for widespread cloud services use.","Yes, ROSA supports node autoscaling. Autoscaling allows you to automatically adjust the size of the cluster based on the current workload. You can find more information about autoscaling nodes on a cluster in the ROSA documentation at the following link: https://docs.openshift.com/rosa/rosa_cluster_admin/rosa_nodes/rosa-nodes-about-autoscaling-nodes.html."
36,Is SRE access to clusters secured by MFA?,"Yes, all SRE access is secured by MFA. See [SRE access](https://docs.openshift.com/rosa/rosa_architecture/rosa_policy_service_definition/rosa-policy-process-security.html#rosa-policy-sre-access_rosa-policy-process-security) in the documentation for more details.","If you specify a KMS key to use, the following will be encrypted with that key: control plane, infrastructure and worker node root volumes, along with your persistent volumes. For more information, please refer to the [ROSA Documentation](https://docs.openshift.com/rosa/welcome/index.html)."
37,"What encryption keys, if any, are used in a new ROSA cluster?","We encrypt EBS volumes that we use for ROSA, using a key stored in KMS. Customers have the option to provide their own KMS keys at cluster creation time as well.","Yes, ROSA supports the use of customer-supplied KMS keys for EBS encryption. To configure a cluster with a custom KMS Key, you can refer to the ROSA STS Customizations documentation [here](https://docs.openshift.com/rosa/rosa_install_access_delete_clusters/rosa-sts-creating-a-cluster-with-customizations.html#rosa-sts-creating-cluster-customizations_rosa-sts-creating-a-cluster-with-customizations) and the Deploy ROSA with a Custom KMS Key guide [here](https://mobb.ninja/docs/rosa/kms/). Using a customer-managed KMS key allows you to have full control over the KMS key including key policies, key rotation and deletion."
38,"If I specify a KMS key to use, what exactly gets encrypted with that key?","Control plane, infrastructure and worker node root volumes, along with your persistent volumes.","
If you specify a KMS key to use, the following will be encrypted with that key: control plane, infrastructure and worker node root volumes, along with your persistent volumes. You should see the StorageClass set to `gp3-customer-kms`. This is the default StorageClass which is encrypted using the customer-provided key. For more information, please refer to the following links: 

- [ROSA STS Customizations](https://docs.openshift.com/rosa/rosa_install_access_delete_clusters/rosa-sts-creating-a-cluster-with-customizations.html#rosa-sts-creating-cluster-customizations_rosa-sts-creating-a-cluster-with-customizations)
- [Deploy ROSA with a Custom KMS Key](https://mobb.ninja/docs/rosa/kms/)"
